Provinsi,Tahun,UpahMinimumProvinsi
Papua,2000,315000
Yogyakarta,2000,194500
Jawa Tengah,2000,185000
Jawa Barat,2000,230000
Jakarta Raya,2000,286000
Kepulauan Riau,2000,300000
Bangka-Belitung,2000,190000
Jawa Timur,2000,214500
Lampung,2000,192000
Sumatera Selatan,2000,190000
Jambi,2000,173000
Riau,2000,250700
Sumatera Barat,2000,200000
Sumatera Utara,2000,254000
Aceh,2000,265000
Bengkulu,2000,173000
Banten,2000,230000
Papua Barat,2000,0
Nusa Tenggara Barat,2000,180000
Maluku Utara,2000,180000
Maluku,2000,180000
Sulawesi Barat,2000,0
Gorontalo,2000,186000
Sulawesi Tenggara,2000,210000
Sulawesi Selatan,2000,200000
Sulawesi Tengah,2000,203000
Bali,2000,214000
Kalimantan Utara,2000,0
Kalimantan Timur,2000,233000
Kalimantan Selatan,2000,200000
Kalimantan Tengah,2000,285000
Kalimantan Barat,2000,228000
Nusa Tenggara Timur,2000,184000
Sulawesi Utara,2000,186000
Yogyakarta,2001,237500
Jawa Tengah,2001,245000
Jawa Barat,2001,245000
Jakarta Raya,2001,426300
Kepulauan Riau,2001,421500
Bangka-Belitung,2001,255000
Lampung,2001,240000
Jambi,2001,245000
Sumatera Selatan,2001,255000
Riau,2001,329000
Sumatera Barat,2001,250000
Sumatera Utara,2001,340500
Aceh,2001,300000
Jawa Timur,2001,220000
Bengkulu,2001,240000
Banten,2001,245000
Bali,2001,309800
Nusa Tenggara Barat,2001,240000
Papua Barat,2001,0
Maluku Utara,2001,230000
Maluku,2001,230000
Sulawesi Barat,2001,0
Gorontalo,2001,372000
Sulawesi Tenggara,2001,275000
Sulawesi Selatan,2001,300000
Papua,2001,400000
Sulawesi Utara,2001,372000
Kalimantan Utara,2001,0
Kalimantan Timur,2001,300000
Kalimantan Selatan,2001,295000
Kalimantan Tengah,2001,362000
Kalimantan Barat,2001,304500
Nusa Tenggara Timur,2001,275000
Sulawesi Tengah,2001,245000
Yogyakarta,2002,321800
Jawa Tengah,2002,314500
Jawa Barat,2002,280800
Jakarta Raya,2002,591300
Kepulauan Riau,2002,0
Bangka-Belitung,2002,345000
Lampung,2002,310000
Riau,2002,394000
Sumatera Selatan,2002,331500
Jambi,2002,304000
Sumatera Barat,2002,385000
Sumatera Utara,2002,464000
Aceh,2002,330000
Jawa Timur,2002,245000
Bengkulu,2002,295000
Banten,2002,360000
Papua,2002,530000
Nusa Tenggara Barat,2002,320000
Bali,2002,341000
Papua Barat,2002,0
Maluku Utara,2002,322000
Maluku,2002,285000
Sulawesi Barat,2002,0
Sulawesi Tenggara,2002,325000
Sulawesi Selatan,2002,375000
Gorontalo,2002,375000
Sulawesi Utara,2002,438000
Kalimantan Utara,2002,0
Kalimantan Timur,2002,500000
Kalimantan Selatan,2002,377500
Kalimantan Tengah,2002,362000
Kalimantan Barat,2002,380000
Nusa Tenggara Timur,2002,330000
Sulawesi Tengah,2002,350000
Bangka-Belitung,2003,379500
Yogyakarta,2003,360000
Jawa Tengah,2003,340400
Jawa Barat,2003,320000
Jakarta Raya,2003,631600
Kepulauan Riau,2003,0
Lampung,2003,350000
Jawa Timur,2003,274000
Sumatera Selatan,2003,403500
Jambi,2003,390000
Riau,2003,437500
Sumatera Barat,2003,435000
Sumatera Utara,2003,505000
Aceh,2003,425000
Bengkulu,2003,330000
Banten,2003,475000
Papua,2003,600000
Nusa Tenggara Barat,2003,375000
Papua Barat,2003,0
Maluku Utara,2003,370000
Maluku,2003,370000
Sulawesi Barat,2003,0
